filename,speaker_id,dataset,file_path,dialect_code,dialect,split,emotion,speech_type,accent,native_language,duration,sampling_frequency,pitch_mean,pitch_std,pitch_median,pitch_range,pitch_variance,energy_mean,energy_std,energy_max,energy_min,energy_dynamic_range,F1_mean,F1_std,F1_median,F2_mean,F2_std,F2_median,F3_mean,F3_std,F3_median,hnr_mean
SA1.WAV,fcjf0,TIMIT,/content/drive/MyDrive/TIMIT/TRAIN/DR1/FCJF0/SA1.WAV,dr1,new_england,train,,,,american_english,2.9248125,16000,201.26916824747482,26.61670452042457,196.6834673005925,147.8053336464596,708.4489595275897,46.126976682693055,10.527333246175463,64.50986456838031,9.371432748712023,55.138431819668284,705.1247339479048,324.45229546536905,574.65697553676,1820.1683121999201,482.69702692532434,1878.2053158458925,2880.736299300774,350.9311083814123,2875.088084513603,15.333584327386765
SA2.WAV,fcjf0,TIMIT,/content/drive/MyDrive/TIMIT/TRAIN/DR1/FCJF0/SA2.WAV,dr1,new_england,train,,,,american_english,2.1568125,16000,196.38093078477706,28.649216146116355,197.5799473666882,162.7190129035096,820.7775857868942,44.090212934824336,13.13247139425652,60.89734618782306,8.419170208466877,52.47817597935618,746.2434074959205,313.26438226143273,668.8671631193052,1877.9860274863195,344.86630681583,1857.5904921270565,2869.6097763560656,396.2072181271039,2848.0077103696876,14.40262822640091
SI1027.WAV,fcjf0,TIMIT,/content/drive/MyDrive/TIMIT/TRAIN/DR1/FCJF0/SI1027.WAV,dr1,new_england,train,,,,american_english,3.09125,16000,198.3268716713646,57.321224774663804,205.45461769384264,416.8083598559304,3285.7228096675312,42.22547482947232,11.718126729584185,61.42971250742805,9.539313956940866,51.890398550487184,754.8214746932922,325.2281416675714,705.947742467117,2006.2366346316069,456.48001904407477,2076.555912817585,2948.683876786427,355.4221061771648,2956.0503960701067,10.471395888546173
SI1657.WAV,fcjf0,TIMIT,/content/drive/MyDrive/TIMIT/TRAIN/DR1/FCJF0/SI1657.WAV,dr1,new_england,train,,,,american_english,2.841625,16000,197.33924169308776,31.00604451090547,200.18199019538062,187.7975766569557,961.3747962122512,43.38669639667142,11.04313135036456,63.4267286120061,11.488223215098351,51.93850539690775,763.465622215114,307.7678744623186,712.6262683294723,1676.1094419140654,501.3009231569735,1534.493213417118,2850.033252930039,371.98971485161513,2830.5668552760876,15.317207902238877
SI648.WAV,fcjf0,TIMIT,/content/drive/MyDrive/TIMIT/TRAIN/DR1/FCJF0/SI648.WAV,dr1,new_england,train,,,,american_english,3.616,16000,206.5984596760709,58.595023453294566,202.69180482146572,489.2284271601553,3433.3767734921403,42.63484832622788,10.862442192752646,59.69034587100731,10.850801817559033,48.83954405344828,730.9054366632316,312.874822863962,672.0541766000139,1788.7870514496688,446.4757014942914,1849.4698790584873,2925.2850928809567,307.6936432221423,2913.0663630995155,12.596592204805152
SX127.WAV,fcjf0,TIMIT,/content/drive/MyDrive/TIMIT/TRAIN/DR1/FCJF0/SX127.WAV,dr1,new_england,train,,,,american_english,1.5424375,16000,205.42808122209044,82.06439168462718,202.02175711283962,478.37427013657964,6734.564382567906,43.26003590577008,12.384068320837756,61.74474529989301,8.664137720812466,53.08060757908055,722.5762481013508,290.804845206293,668.8647378120515,1937.9429346721363,417.79408060348646,1913.9832517055863,2870.860460321274,438.4917513644029,2927.6204106360624,9.833901136774868
SX217.WAV,fcjf0,TIMIT,/content/drive/MyDrive/TIMIT/TRAIN/DR1/FCJF0/SX217.WAV,dr1,new_england,train,,,,american_english,1.7344375,16000,214.45131633128267,34.37068967133085,202.4684632230725,122.43409855114328,1181.3443084829294,42.74160732919887,16.326778022209854,64.67196906309118,9.569135915410143,55.10283314768104,790.3730444276572,297.92639233397836,768.4135302427512,1765.0424062426728,342.6207932650059,1783.7537863865834,2777.2433730307353,413.0844474074668,2842.662973342249,17.28455136280179
SX307.WAV,fcjf0,TIMIT,/content/drive/MyDrive/TIMIT/TRAIN/DR1/FCJF0/SX307.WAV,dr1,new_england,train,,,,american_english,1.4464375,16000,187.70024274043726,48.59516812832951,201.2256154479972,159.7291340048194,2361.4903654206123,41.99723120209712,11.597068253794355,57.01974420220835,8.825541394984807,48.19420280722355,686.3833886350998,340.1344845705867,595.753565255817,1932.334398444436,461.82123957697956,1877.905542768554,2913.859792441821,389.21529406113893,2920.791928716418,11.915751010474855
SX37.WAV,fcjf0,TIMIT,/content/drive/MyDrive/TIMIT/TRAIN/DR1/FCJF0/SX37.WAV,dr1,new_england,train,,,,american_english,2.265625,16000,197.6562744731387,51.224858821814024,207.43486834913347,189.88873278000904,2623.986161314778,40.919402239198135,13.302444501246423,63.71900739364307,9.943003918149518,53.77600347549355,762.338556017544,347.463945342081,672.6761465946151,1825.8694697324142,425.7321844002463,1842.8355987664431,2897.9921699994634,427.6039714344105,2929.6161844008566,13.042488702536458
SX397.WAV,fcjf0,TIMIT,/content/drive/MyDrive/TIMIT/TRAIN/DR1/FCJF0/SX397.WAV,dr1,new_england,train,,,,american_english,2.45125,16000,224.05762797021606,59.90454480057765,214.4631283985451,450.94078799529933,3588.554487764415,43.22073712973602,11.383312567313098,60.89257180891642,8.554149645612592,52.33842216330383,729.2378685143733,349.545124213885,554.8151924427028,1895.55435735742,440.3091740866036,2000.4472709703239,2964.7205828084675,274.105580561181,2905.109030599868,11.14463198810427
SA1.WAV,fdaw0,TIMIT,/content/drive/MyDrive/TIMIT/TRAIN/DR1/FDAW0/SA1.WAV,dr1,new_england,train,,,,american_english,3.34725,16000,192.43443892126393,36.37525395590974,199.576923643914,152.80261141718546,1323.1591003569274,47.56471490131005,11.357486591304559,67.59668709513873,7.343815393069431,60.2528717020693,736.1215894207934,322.5155759191313,673.3206539966134,1817.1831313464515,429.8892435532207,1778.496519972311,2765.539529359505,421.7573885776494,2702.3776592238182,15.732651521496901
SA2.WAV,fdaw0,TIMIT,/content/drive/MyDrive/TIMIT/TRAIN/DR1/FDAW0/SA2.WAV,dr1,new_england,train,,,,american_english,2.67525,16000,197.82385855125352,32.47458453434209,199.0833426086604,162.41273877545206,1054.5986406781306,46.68854693384859,13.81426265479353,64.07877125752526,6.932071464547911,57.14669979297735,719.0262895347643,238.96772755022775,697.0376097972633,1772.3206453643445,355.11283865949247,1747.6424332564284,2738.79045152498,331.0580340726541,2710.9535521848975,16.291197368132405
