filename,speaker_id,dataset,file_path,accent,dialect,native_language,duration,sampling_frequency,pitch_median,energy_min,energy_dynamic_range,F1_mean,F1_median,F1_std,F2_mean,F2_median,F3_mean,F3_median,hnr_mean,jitter_local,shimmer_apq5
SA1.WAV.wav,fcjf0,TIMIT,/ocean/projects/cis220031p/hkook/dataset/TIMIT/data/TRAIN/DR1/FCJF0/SA1.WAV.wav,dr1,new_england,american_english,2.9248125,16000.0,196.6834673005925,8.763528772280688,55.89427797636116,708.9307566372604,570.38224589838,334.0884769483191,1829.156873671994,1874.9176871672225,2874.836118772152,2871.0560765788214,15.333584327386765,0.010648181011266867,0.023919158238151984
SA2.WAV.wav,fcjf0,TIMIT,/ocean/projects/cis220031p/hkook/dataset/TIMIT/data/TRAIN/DR1/FCJF0/SA2.WAV.wav,dr1,new_england,american_english,2.1568125,16000.0,197.5799473666882,8.225458918970844,52.75618317106933,740.0094867667584,665.0430246336728,302.6909917180261,1886.271223406698,1856.896653130918,2875.496447851448,2851.055662597439,14.40262822640091,0.011203540213540867,0.023768645237391545
SI1027.WAV.wav,fcjf0,TIMIT,/ocean/projects/cis220031p/hkook/dataset/TIMIT/data/TRAIN/DR1/FCJF0/SI1027.WAV.wav,dr1,new_england,american_english,3.09125,16000.0,205.45461769384264,9.374300122463081,52.17751407064189,755.7720199789167,699.3070637581224,324.67180089303656,2010.1836040078597,2076.1539626683125,2947.6757048397885,2951.8588788684365,10.471395888546173,0.020227537419310597,0.03746779172876334
SI1657.WAV.wav,fcjf0,TIMIT,/ocean/projects/cis220031p/hkook/dataset/TIMIT/data/TRAIN/DR1/FCJF0/SI1657.WAV.wav,dr1,new_england,american_english,2.841625,16000.0,200.18199019538062,7.8398844960752925,55.73432770906568,753.0802043588812,708.1001886870527,305.41533641057293,1650.8858007204906,1502.780091417528,2839.342754338749,2816.885334540878,15.317207902238877,0.011825768448147726,0.0334899980016113
SI648.WAV.wav,fcjf0,TIMIT,/ocean/projects/cis220031p/hkook/dataset/TIMIT/data/TRAIN/DR1/FCJF0/SI648.WAV.wav,dr1,new_england,american_english,3.616,16000.0,202.69180482146572,9.02291764833702,50.727584947253106,718.7038469381545,667.7696140461895,302.02161873332915,1767.173562435534,1825.752256565044,2906.0833936881904,2904.4647075879916,12.596592204805152,0.01634983085149261,0.039411010622787596
SX127.WAV.wav,fcjf0,TIMIT,/ocean/projects/cis220031p/hkook/dataset/TIMIT/data/TRAIN/DR1/FCJF0/SX127.WAV.wav,dr1,new_england,american_english,1.5424375,16000.0,202.02175711283962,8.461304291205789,53.663869450788255,719.4405969270857,662.6526944829805,293.2108874515686,1922.1236769326438,1900.8370844120561,2852.444725690699,2909.877622740146,9.833901136774868,0.0165117372570809,0.044389105848907935
SX217.WAV.wav,fcjf0,TIMIT,/ocean/projects/cis220031p/hkook/dataset/TIMIT/data/TRAIN/DR1/FCJF0/SX217.WAV.wav,dr1,new_england,american_english,1.7344375,16000.0,202.4684632230725,9.080290714867216,55.69352108804108,796.5970598383134,767.9312733189673,296.4004755556685,1775.880256079301,1798.5276428660723,2777.7884208253604,2849.448643480634,17.28455136280179,0.008861552658938954,0.028891921661055413
SX307.WAV.wav,fcjf0,TIMIT,/ocean/projects/cis220031p/hkook/dataset/TIMIT/data/TRAIN/DR1/FCJF0/SX307.WAV.wav,dr1,new_england,american_english,1.4464375,16000.0,201.2256154479972,8.562545316741929,48.56791639096892,684.744514816897,593.3073114890174,340.05496272925734,1925.4414092554978,1874.4313898835926,2909.4535406779833,2931.1168797603123,11.915751010474855,0.018581014085599253,0.038211982627646274
SX37.WAV.wav,fcjf0,TIMIT,/ocean/projects/cis220031p/hkook/dataset/TIMIT/data/TRAIN/DR1/FCJF0/SX37.WAV.wav,dr1,new_england,american_english,2.265625,16000.0,207.43486834913347,9.223079563521194,54.68038649586992,758.9268880750253,657.8252546232358,353.1777017715172,1822.581730659449,1833.7389005103194,2898.1474552654345,2925.7922778600605,13.042488702536458,0.018851826240079257,0.03787890227616434
SX397.WAV.wav,fcjf0,TIMIT,/ocean/projects/cis220031p/hkook/dataset/TIMIT/data/TRAIN/DR1/FCJF0/SX397.WAV.wav,dr1,new_england,american_english,2.45125,16000.0,214.4631283985451,8.463000363517223,52.585309772512964,738.2714583817785,553.4507254315523,365.3756591555087,1907.0776927724662,1999.8763866598933,2977.2510327515197,2915.961760918593,11.14463198810427,0.016325555045233132,0.031329934102922626
