filename,speaker_id,dataset,file_path,accent,native_language,duration,sampling_frequency,pitch_median,energy_min,energy_dynamic_range,F1_mean,F1_median,F1_std,F2_mean,F2_median,F3_mean,F3_median,hnr_mean,jitter_local,shimmer_apq5
emo_adoration_freeform.wav,p001,EARS,/ocean/projects/cis220031p/hkook/dataset/EARS/p001/emo_adoration_freeform.wav,,german,15.701333333333332,16000.0,106.48858218653264,15.06327957886699,50.167022239287014,803.0935123088724,535.559415174787,560.21035417172,1887.8187348524812,1766.6593806012827,2843.8229514793165,2593.4592312494146,13.234630916041025,0.025081160209609085,0.04886439562598588
emo_adoration_sentences.wav,p001,EARS,/ocean/projects/cis220031p/hkook/dataset/EARS/p001/emo_adoration_sentences.wav,,german,12.531395833333333,16000.0,107.26701715750644,17.522407094752776,53.93816218927573,1034.5377164016772,1084.4308604489047,571.8265543084982,2123.9439651901275,2111.8305015182004,3133.4005436571897,3188.8302886753645,10.577765992624817,0.03566538881363633,0.0503710191463513
emo_amazement_freeform.wav,p001,EARS,/ocean/projects/cis220031p/hkook/dataset/EARS/p001/emo_amazement_freeform.wav,,german,14.182604166666666,16000.0,117.2863853859372,19.954353151500953,52.610898532719204,832.1109757619034,611.651948178896,559.638091079526,1871.555996316474,1802.7970910675756,2922.287112544993,2712.435564611953,13.66766693099102,0.019006614664331702,0.043611032448151794
emo_amazement_sentences.wav,p001,EARS,/ocean/projects/cis220031p/hkook/dataset/EARS/p001/emo_amazement_sentences.wav,,german,8.746895833333333,16000.0,126.98433390209789,19.13525364350199,51.42930453587211,997.1019757955102,892.8508752096071,570.5255619418513,2016.4240158378743,1950.7669415978976,3054.1756759390023,2918.2181199428906,13.018752551028923,0.023041190555064994,0.043260093036750755
emo_amusement_freeform.wav,p001,EARS,/ocean/projects/cis220031p/hkook/dataset/EARS/p001/emo_amusement_freeform.wav,,german,15.7441875,16000.0,126.34325558701732,18.185932650132692,59.50027607473988,932.7324874926455,769.0019812945487,527.3504371380933,1961.204889875973,1912.4447120838317,2918.640665508978,2753.4507169409485,12.150279149802762,0.02168218553032596,0.04655036242061203
emo_amusement_sentences.wav,p001,EARS,/ocean/projects/cis220031p/hkook/dataset/EARS/p001/emo_amusement_sentences.wav,,german,9.322375,16000.0,110.59903070099298,12.429827075986083,58.78132914320109,1096.640726626218,1157.3669832519258,600.0628118792545,2068.0113729168593,2045.517828208777,3110.6342939056626,3114.8661509385906,8.094582373118964,0.04051860134363355,0.07636925101635489
emo_anger_freeform.wav,p001,EARS,/ocean/projects/cis220031p/hkook/dataset/EARS/p001/emo_anger_freeform.wav,,german,15.109791666666666,16000.0,233.66341583760183,21.48084244942019,61.73610259152129,854.655870915045,713.479064634063,509.3173827766494,1899.9253569469934,1865.5663105949152,2928.0113942503954,2796.8375982684584,14.157957715593978,0.0151319591087246,0.03684163269063181
emo_anger_sentences.wav,p001,EARS,/ocean/projects/cis220031p/hkook/dataset/EARS/p001/emo_anger_sentences.wav,,german,11.580895833333333,16000.0,181.0841500067355,20.561529187650216,62.23983603600002,1022.2492989791305,964.8263913226622,520.5969818974282,1998.54465952469,1913.3266005802247,3017.5313706440024,2927.8590393891254,10.08906864742993,0.019200252078920378,0.053812338818761414
emo_confusion_freeform.wav,p001,EARS,/ocean/projects/cis220031p/hkook/dataset/EARS/p001/emo_confusion_freeform.wav,,german,14.931791666666667,16000.0,111.25383173386845,20.677855743696327,48.44977057521959,952.6778940400627,717.5209816957888,572.4523909780763,1994.8781688556803,1866.5383168527046,3040.770330821227,2836.0547974082406,10.582716247108353,0.025073721722062306,0.049718341024256936
emo_confusion_sentences.wav,p001,EARS,/ocean/projects/cis220031p/hkook/dataset/EARS/p001/emo_confusion_sentences.wav,,german,6.765458333333333,16000.0,133.93530312162886,17.87652692884842,49.57283237369458,1093.5062226325824,1056.7285199623777,625.0489192476589,2222.3559459578905,2226.467286955585,3262.34163208848,3285.4439791179498,9.58955027658022,0.03085068515560024,0.06193494444838906
emo_contentment_freeform.wav,p001,EARS,/ocean/projects/cis220031p/hkook/dataset/EARS/p001/emo_contentment_freeform.wav,,german,15.125645833333333,16000.0,103.61082519096837,16.729205554634085,49.697726906435854,867.0341264366491,611.253461429896,572.1716902510831,1943.1600946706344,1849.7123123714377,2943.451424411997,2685.0070354042887,11.704453557649003,0.03495995117450957,0.05538791716263896
emo_contentment_sentences.wav,p001,EARS,/ocean/projects/cis220031p/hkook/dataset/EARS/p001/emo_contentment_sentences.wav,,german,8.240041666666666,16000.0,108.4516545706864,19.052062170215375,48.880022003050215,954.1822933915208,747.812506494178,581.694160650645,2046.110244301569,1961.500795149355,3031.797319207676,2803.7624317938503,11.02558457760446,0.03175885024131761,0.05461196739427986
